fiber_type,resin_type,density_g_cm3,layer_count,curing_temperature_c,fiber_volume_fraction,void_content_pct,tensile_strength_mpa
Aramid,Phenolic,2.2540715740944712,14,131.78883514327612,0.5008278388475216,2.8879083942665487,1520.2708534431538
Glass,Phenolic,1.9149628075383063,8,80.48102981631844,0.5644594424955138,1.98270438978891,1670.9731908795952
Carbon,Polyester,1.939435316695897,16,120.66938798464113,0.6060360088136849,3.41016457945607,1674.4084116038837
Carbon,Phenolic,1.6696921680239765,1,133.31254273233435,0.6249418018063804,3.2913076599706845,1554.996484801019
Basalt,Vinyl Ester,2.47919533014604,10,78.31351901528983,0.582077359490982,1.75268649132114,1470.1894341664954
Aramid,Phenolic,1.9174631034714562,18,70.01255932129398,0.40418741688387305,3.96955708758217,1550.8867694744056
Glass,Phenolic,2.2669458106135036,17,80.62021629422247,0.40249895633797417,1.152350173693955,1492.3133242882718
Carbon,Polyester,2.0048937718805986,9,105.05455026069596,0.6627897525464659,3.9334682449821994,1524.2446616349284
Carbon,Phenolic,2.314258560982688,20,148.1452380876692,0.4020269693476621,2.1798580962050966,1640.9290064557256
Basalt,Vinyl Ester,1.8242653595687073,9,138.914329982523,0.5449406335386155,2.4457079404774915,1502.9294091109123
Aramid,Phenolic,1.7517137865930785,19,107.28080686781662,0.5685113267623971,3.233355060945428,1557.3474592256603
Glass,Phenolic,1.8012651676976197,15,77.88287046753673,0.6038986632944914,1.8503549474879528,2035.3186162928516
Carbon,Polyester,1.8597225105283326,15,69.08516742241316,0.5368625618417767,1.1632796262295613,1096.7109279722142
Carbon,Phenolic,1.81127258915439,12,138.3758394937945,0.34092984858650466,1.5272393442355914,1600.7833836729508
Basalt,Vinyl Ester,1.7464768856554835,10,98.65981525980311,0.6939020734037898,1.9738011447400747,1894.818418360654
Aramid,Phenolic,2.014287614429658,10,90.27301800226358,0.4534328553511248,2.382473837148169,1673.6043796552112
Glass,Phenolic,2.453238271703477,24,109.93486484738403,0.4798961702763912,1.9581765656586998,2440.3481410453574
Carbon,Polyester,2.152655308034136,5,79.14338553783318,0.34016829594514136,1.1481099166939992,1862.2840141925483
Carbon,Phenolic,2.202498328489967,23,132.17051064636118,0.4522196413242474,3.41259284137796,1880.3276756645319
Basalt,Vinyl Ester,2.445889329807811,4,117.06272499205785,0.4176119893338964,3.7823339002466523,2075.2154610110547
Aramid,Phenolic,2.3162461703798485,1,99.08480009499289,0.3541874624780188,1.5351399832924426,1783.157543462576
Glass,Phenolic,1.9154704554897275,29,69.56877296049376,0.4102171560326324,1.810264074837852,2022.2271934791897
Carbon,Polyester,2.3073339401375605,1,117.96628048349189,0.5475489155304277,1.4268218232891305,1320.1761571786933
Carbon,Phenolic,1.79242953910724,29,66.5977114545174,0.4030692464287582,1.0808749635068124,1781.6931469323044
Basalt,Vinyl Ester,1.5130225203326275,29,141.3483207581893,0.5951293549000936,2.0565252899875084,1949.0179060716482
Aramid,Phenolic,1.9595482753476356,21,60.80391802802463,0.3151757390911282,2.9498560798503486,1851.1532786721737
Glass,Phenolic,2.011545960286644,16,68.8226457002051,0.5393160629669406,1.3208513159721158,1362.2527222277013
Carbon,Polyester,2.159028900897247,22,102.20112599645374,0.6002566898697287,2.8835515671597243,1593.0216822779994
Carbon,Phenolic,1.8551759179836322,7,141.6064976193441,0.598713995229883,3.7899768382849524,664.36620100548
Basalt,Vinyl Ester,2.4815737378808462,5,144.83665500448245,0.5867925124712987,1.3619251904448741,1270.2825985132997
Aramid,Phenolic,1.5336066858526065,8,63.46841981810539,0.5335021706482884,2.8100964336368097,1638.3377691475741
Glass,Phenolic,1.9190876114451196,15,105.29563067443291,0.4950114695674,1.8565918367922298,1404.3736378945514
Carbon,Polyester,1.9037220920136229,24,134.99260270264648,0.6746909193775997,2.5366489742404,1736.4318928332675
Carbon,Phenolic,2.0264194920531016,12,109.68599568361358,0.6095855076920162,3.0734035178920593,1012.698215597972
Basalt,Vinyl Ester,2.3702537538768103,4,84.21462064633337,0.5624255948329195,1.410526542944164,1361.6139773326236
Aramid,Phenolic,1.739367108302353,22,140.9112081527789,0.5997372530956278,2.522315296486454,1078.0591474836922
Glass,Phenolic,2.231679472703697,10,115.76051019894595,0.471136750104879,2.771019116506266,1509.8354777347695
Carbon,Polyester,2.285743136947375,9,87.23803579592294,0.6715102042912762,3.04808756514541,1697.0669366632633
Carbon,Phenolic,2.31990469351568,14,65.13200198824177,0.6153228616623929,1.4840060014683005,1764.5654210829373
Basalt,Vinyl Ester,1.5571514889097735,10,127.33765118509017,0.6086383569089344,2.6947954019427067,1743.3785346828938
Aramid,Phenolic,2.496185626901995,13,139.33543735164653,0.4776849094101816,3.0635147455193366,1941.9938927242836
Glass,Phenolic,2.054128463844835,17,103.39646740401577,0.608974327054067,3.297838943958755,1837.4818888593086
Carbon,Polyester,2.333691930789165,26,139.81579406014936,0.4109107115373592,2.828649510693868,1965.1152191148747
Carbon,Phenolic,2.2941759515446045,1,81.91279127201705,0.6041327794463058,2.723363687090082,1725.121575041863
